loss,coef_count,max_x,NS_n,a1,a3,a5,a7
0.118979144432646,2,1,5,1.962775227916918,-0.9745491728140632,0.0,0.0
0.04764048105558934,2,1,8,-1.9121488101642274,0.9088365139777999,0.0,0.0
0.7156112194440731,2,5,5,0.9615467805165103,-0.03212018697695029,0.0,0.0
1.0179907823489531,2,5,8,-1.0552222949827057,0.0331403028779989,0.0,0.0
1.0899105361050048,2,10,5,0.8080501013822108,-0.0065296712289732994,0.0,0.0
1.1361391590112324,2,10,8,0.9048845029033199,-0.006992480183091843,0.0,0.0
4.471077497453359,2,20,5,0.1961618333519474,-0.0009216465144303,0.0,0.0
inf,2,20,8,-1.8824949276954115,3.53231364564885,0.0,0.0
0.039792267175076675,3,1,5,3.100870297619826,-3.423672437757981,1.3183817210599216,0.0
0.004572702269955719,3,1,8,3.079511343570962,-3.3866347625618687,1.3069336058410173,0.0
inf,3,5,5,6.621338812712555,6.934342645825421,-8.714145927907332,0.0
inf,3,5,8,-4.752213998378718,-5.674684447659337,8.631025785364365,0.0
inf,3,10,5,-7.031266727388728,-3.763080520246418,-5.529235836551171,0.0
inf,3,10,8,-3.946277694675631,6.205058562713287,-3.3368035780022325,0.0
inf,3,20,5,9.84364097224528,-4.806717681183567,-1.173141975027951,0.0
inf,3,20,8,8.581612558266528,-6.055147750232841,-3.0504127167316453,0.0
0.019419643402287145,4,1,5,4.081774772689403,-7.928164890960604,6.902183294802185,-2.0568017997588655
7.32917945798857e-05,4,1,8,3.3065734160605267,-6.177358096955988,5.884065503765527,-2.0132792562353874
inf,4,5,5,-6.2048387446113225,-3.969317669156027,-0.1285119553985154,-3.341759493624144
inf,4,5,8,8.272743255855854,-4.269848164719772,6.844741220885151,9.257456021705243
inf,4,10,5,0.7817214151723526,2.6492116935887005,1.6405561311091237,4.603376363793464
inf,4,10,8,-8.68075006226987,-3.9712086003049896,-9.862061261018209,3.548652706408585
inf,4,20,5,0.5103702814783873,-1.6791421197951717,2.888745370801708,-5.697561630240413
inf,4,20,8,4.573134276048629,-7.130166253877757,3.832743624802236,-6.565642384633366
